Key	Portuguese	English
maps.Map005.choice.my_friend_jonny_is_the_best_you_re_going_79fa1ed75f	Meu amigo Jonny é o melhor! Você vai esmagá-lo amanhã.	My friend Jonny is the best! You’re going to crush it tomorrow.
maps.Map005.choice.no_need_to_show_off_on_your_single_frien_f371f3d42a	Não há necessidade de se exibir para seu amigo solteiro, cara.	No need to show off on your single friend, dude.
maps.Map005.choice.so_what_did_you_fight_about_b579e00fbb	Então, por que você brigou?	So what did you fight about?
maps.Map005.choice.so_what_did_you_guys_fight_about_f675815263	Então, por que vocês brigaram?	So what did you guys fight about?
maps.Map005.choice.that_s_just_like_you_jonny_the_only_poss_abd9f3b744	Isso é típico de você, Jonny! O único vencedor possível amanhã.	That’s just like you, Jonny! The only possible winner tomorrow.
maps.Map005.choice.that_s_just_your_girlfriend_being_jealou_13cfcbbb7a	É apenas a sua namorada com ciúmes e não querendo mais que você corra.	That’s just your girlfriend being jealous and not wanting you to race anymore.
maps.Map005.choice.that_s_right_tthe_johnny_i_know_doesn_t__a755244444	Isso mesmo, o Johnny que conheço não se importa com esse tipo de coisa.	That’s right, tThe Johnny I know doesn’t care about that kind of stuff.
maps.Map005.choice.that_s_so_you_jonny_if_you_say_can_do_it_b6f8fde3cd	É isso mesmo, Jonny. Se você diz que pode fazer isso...	That’s so you, Jonny. If you say can do it...
maps.Map005.choice.that_s_why_i_never_show_up_to_first_peri_fff166a550	É por isso que nunca apareço no primeiro período.	That’s why I never show up to first period.
maps.Map005.choice.the_johnny_i_know_doesn_t_care_about_tha_1227f0e7e1	O Johnny que conheço não se importa com esse tipo de coisa.	The Johnny I know doesn’t care about that kind of stuff.
maps.Map005.choice.the_last_guy_who_tried_died_you_re_not_s_a378f3056a	O último cara que tentou morreu. Você não está falando sério, certo? 	The last guy who tried died. You’re not serious, right? 
maps.Map005.choice.then_just_break_up_already_stop_complain_00abc56f10	Então é só terminar já! Pare de reclamar tanto.	Then just break up already! Stop complaining so much.
maps.Map005.choice.who_even_likes_waking_up_early_to_study__8ca47f65f2	Quem gosta de acordar cedo para estudar? haha	Who even likes waking up early to study? haha
maps.Map005.choice.you_d_be_the_biggest_legend_in_town_609312188e	Você seria a maior lenda da cidade.	You’d be the biggest legend in town.
maps.Map005.choice.you_don_t_really_seem_okay_with_this_1e82f8af40	Você realmente não parece bem com isso...	You don’t really seem okay with this...
maps.Map005.choice.you_just_need_some_adrenaline_you_should_59ce7c87da	Você só precisa de um pouco de adrenalina. Você deveria correr mais.	You just need some adrenaline. You should race more.
maps.Map005.choice.you_just_need_to_race_again_and_you_ll_b_6f32741316	Você só precisa correr novamente e voltará ao normal.	You just need to race again and you’ll be back to normal.
maps.Map005.choice.you_re_popular_getting_warnings_is_basic_1bf982799a	Você é popular! Receber avisos é basicamente o seu nome do meio.	You’re popular! Getting warnings is basically your middle name.
maps.Map005.choice.you_seem_kinda_down_if_you_wanna_talk_i__4c059e2ab0	Você parece meio deprimido. Se quiser conversar, estou aqui, ok?	You seem kinda down. If you wanna talk, I’m here, okay?
maps.Map005.choice.you_ve_never_really_cared_about_warnings_243bd3eec4	Você nunca se importou com avisos antes. Aconteceu alguma coisa?	You’ve never really cared about warnings before. Did something happen?
maps.Map005.devil_s_curve_i_m_thinking_of_giving_it__4407d40eeb	Curva do Diabo... Estou pensando em tentar.	Devil’s Curve... I’m thinking of giving it a try.
maps.Map005.don_t_change_the_subject_jonny_promise_m_c1f975bcd6	Não mude de assunto, Jonny. Prometa-me 	Don’t change the subject, Jonny. Promise me 
maps.Map005.forgotten_about_it_i_think_i_need_to_res_090fd08765	esqueci disso. Acho que preciso descansar...	forgotten about it. I think I need to rest...
maps.Map005.from_far_away_i_don_t_even_feel_like_doi_a98597b4a6	de longe. Eu nem sinto vontade de fazer as coisas 	from far away. I don’t even feel like doing the things 
maps.Map005.i_don_t_know_it_feels_like_i_m_watching__3ffcf9dc87	Não sei... parece que estou observando minha vida 	I don’t know... it feels like I’m watching my life 
maps.Map005.i_don_t_know_lately_it_s_been_hard_to_ev_2da7d9d0a7	Não sei. Ultimamente tem sido difícil até conseguir 	I don’t know. Lately it’s been hard to even get 
maps.Map005.i_don_t_know_lately_it_s_been_hard_to_ev_8837c20341	Não sei. Ultimamente tem sido difícil até sair da cama.	I don’t know. Lately it’s been hard to even get out of bed.
maps.Map005.i_got_another_warning_from_school_today_7b24698deb	Recebi outro aviso da escola hoje.	I got another warning from school today.
maps.Map005.i_guess_she_s_right_8dd42a7e6e	Acho que ela está certa.	I guess she’s right.
maps.Map005.i_m_just_saying_the_idea_sounds_more_tem_779d8aede4	Só estou dizendo... a ideia parece mais tentadora do que 	I’m just saying… the idea sounds more tempting than 
maps.Map005.i_think_i_need_some_rest_72b2562c9a	Acho que preciso descansar um pouco...	I think I need some rest…
maps.Map005.i_used_to_love_anymore_bcf50d0441	Eu amava mais.	I used to love anymore.
maps.Map005.i_used_to_only_think_about_the_next_race_4f189f2e67	Eu costumava pensar apenas na próxima corrida. 	I used to only think about the next race. 
maps.Map005.interesting_there_eadc8385ae	interessante aí.	interesting there.
maps.Map005.it_should_sometimes_i_don_t_really_care_b89c84ee84	deveria. Às vezes eu realmente não me importo 	it should. Sometimes I don’t really care 
maps.Map005.jonny_you_re_not_the_kind_of_person_who__73d5ad4cc3	Jonny, você não é o tipo de pessoa que corre riscos. 	Jonny, you’re not the kind of person who takes risks. 
maps.Map005.my_girlfriend_we_fought_again_2bd4094165	Minha namorada. Lutamos novamente.	My girlfriend. We fought again.
maps.Map005.now_even_that_doesn_t_seem_to_matter_muc_86c18fede0	Agora, mesmo isso não parece importar muito. 	Now even that doesn’t seem to matter much. 
maps.Map005.out_of_bed_0c01f77684	fora da cama.	out of bed.
maps.Map005.remember_when_i_used_to_spend_the_whole__7d7b5543b7	Lembra quando eu passava a semana inteira 	Remember when I used to spend the whole week 
maps.Map005.right_there_s_a_race_tomorrow_i_almost_f_c619618713	Certo... há uma corrida amanhã. Quase esqueci. 	Right… there’s a race tomorrow. I almost forgot. 
maps.Map005.see_you_tomorrow_cb74f132a2	Vejo você amanhã.	See you tomorrow.
maps.Map005.see_you_tomorrow_dcef9cffd6	Vejo você amanhã?	See you tomorrow?
maps.Map005.see_you_tomorrow_maybe_i_ll_finally_do_s_326a69a43a	Vejo você amanhã. Talvez eu finalmente faça alguma coisa... 	See you tomorrow. Maybe I’ll finally do something... 
maps.Map005.she_says_i_ve_been_distant_that_i_ve_bee_ee02e76dbe	Ela diz que tenho estado distante. Que estou me afastando. 	She says I’ve been distant. That I’ve been pulling away. 
maps.Map005.so_i_skip_class_show_up_late_9f6994815c	Então eu falto às aulas, chego tarde...	So I skip class, show up late...
maps.Map005.speaking_of_which_i_was_thinking_about_t_08142a9f97	Falando nisso... estava pensando naquela curva...	Speaking of which... I was thinking about that curve...
maps.Map005.that_i_m_not_the_same_guy_she_used_to_kn_c9c4a609b7	Que não sou o mesmo cara que ela conhecia. 	That I’m not the same guy she used to know. 
maps.Map005.there_s_a_race_tomorrow_promise_me_you_w_95d351909b	Há uma corrida amanhã. Prometa-me que não fará isso.	There’s a race tomorrow. Promise me you won’t do this.
maps.Map005.waiting_for_the_street_races_253f52f41e	esperando pelas corridas de rua?	waiting for the street races?
maps.Map005.what_can_i_do_i_m_awesome_like_that_righ_a3312a3cff	O que posso fazer? Eu sou incrível assim, certo?	What can I do? I’m awesome like that, right?
maps.Map005.what_curve_jonny_aea9d0830c	Que curva, Jonny?	What curve, Jonny?
maps.Map005.what_happens_after_d10398ae41	o que acontece depois.	what happens after.
maps.Map005.who_c3d8cf2ba6	Quem?	Who?
maps.Map005.wow_there_s_a_race_tomorrow_i_had_almost_ca178cd2b0	Uau, há uma corrida amanhã. eu tinha quase 	Wow, there’s a race tomorrow. I had almost 
maps.Map005.yeah_3bac6c1fa5	Sim... 	Yeah... 
maps.Map005.yeah_forget_it_8e9fdad6ae	Sim, esqueça...	Yeah, forget it...
maps.Map005.yeah_i_know_06a8b84236	Sim... eu sei.	Yeah... I know.
maps.Map005.yeah_i_ve_even_been_thinking_about_selli_a71c902617	Pois é... estou até pensando em vender o Opala. 	Yeah... I’ve even been thinking about selling the Opala. 
maps.Map005.you_won_t_take_devil_s_curve_16a1b1e6f5	você não fará a Curva do Diabo.	you won’t take Devil’s Curve.
maps.Map006.because_i_m_not_letting_you_do_this_2a2a881077	Porque não vou deixar você fazer isso.	Because I'm not letting you do this.
maps.Map006.did_you_slash_my_tires_7681e7ffac	Você cortou meus pneus?	Did you slash my tires?
maps.Map006.do_what_7edd183afd	Fazer o quê?	Do what?
maps.Map006.from_going_to_devil_s_curve_and_and_neve_9bdb9163ed	De ir para Devil's Curve e... e nunca mais voltar.	From going to Devil's Curve and... and never coming back.
maps.Map006.help_me_you_wrecked_my_car_7043f9c264	Me ajude? Você destruiu meu carro.	Help me? You wrecked my car.
maps.Map006.i_m_serious_was_it_you_f4f56f08f6	Estou falando sério. Foi você?	I'm serious. Was it you?
maps.Map006.i_m_sorry_about_the_opala_but_i_don_t_re_d92617b9f6	Sinto muito pelo Opala. Mas não me arrependo.	I'm sorry about the Opala. But I don't regret it.
maps.Map006.it_doesn_t_matter_it_s_not_your_decision_d762dcf845	Não importa. A decisão não é sua. 	It doesn't matter. It´s not your decision. 
maps.Map006.it_was_the_only_way_to_stop_you_c001ff8abb	Era a única maneira de parar você.	It was the only way to stop you.
maps.Map006.johnny_447bc28551	Johnny...	Johnny...
maps.Map006.just_leave_me_alone_21ccb42c8b	Apenas me deixe em paz.	Just leave me alone.
maps.Map006.no_enough_256962cb2d	Não. Chega.	No. Enough.
maps.Map006.stop_me_from_what_048716e041	Impedir-me de quê?	Stop me from what?
maps.Map006.text_6eae3a5b06	...	...
maps.Map006.then_tell_me_i_m_wrong_afbf06f4d0	Então me diga que estou errado. 	Then tell me I'm wrong. 
maps.Map006.then_tell_me_i_m_wrong_jonny_a7fa10d941	Então me diga que estou errado, Jonny!	Then tell me I'm wrong, Jonny!
maps.Map006.why_why_would_you_do_that_2593291b3f	Por que? Por que você faria isso???	Why? Why would you do that???
maps.Map006.yeah_7169a9fe24	Sim.	Yeah.
maps.Map006.you_have_no_idea_what_you_re_talking_abo_d82f663793	Você não tem ideia do que está falando.	You have no idea what you're talking about.
maps.Map006.you_know_what_i_m_trying_to_help_you_811ae701e7	Você sabe o que. Estou tentando te ajudar...	You know what. I'm trying to help you...
maps.Map007.and_for_some_students_getting_here_was_h_b3a6f94a05	E para alguns estudantes, chegar aqui foi mais difícil 	And for some students, getting here was harder 
maps.Map007.eddie_8fa705169c	Eddie	Eddie
maps.Map007.jonny_a88cc28096	Johnny	Jonny
maps.Map007.lucas_cbede02e8c	Lucas	Lucas
maps.Map007.now_i_would_like_to_call_your_names_327edef6bb	Agora, gostaria de chamar seus nomes.	Now, I would like to call your names.
maps.Map007.patricia_821ea83142	Patrícia	Patricia
maps.Map007.polly_e60752c375	Polly	Polly
maps.Map007.text_6eae3a5b06	...	...
maps.Map007.than_it_looks_but_they_made_it_df59d983c3	do que parece. Mas eles conseguiram.	than it looks. But they made it.
maps.Map007.we_ve_reached_the_end_of_another_chapter_0c76459a78	Chegamos ao final de mais um capítulo.	We’ve reached the end of another chapter.
maps.Map009.already_been_slipping_away_long_before_t_de610a5e31	já estava escapando muito antes daquela noite...	already been slipping away long before that night...
maps.Map009.composer_3566a3ef03	\FS[40]\C[6]Compositor	\FS[40]\C[6]Composer
maps.Map009.edney_a_reis_filho_cf12afa1d1	\FS[30]\C[0]Edney A. Reis Filho	\FS[30]\C[0]Edney A. Reis Filho
maps.Map009.edney_reis_9b62d3245e	\FS[30]\C[0]Edney Reis	\FS[30]\C[0]Edney Reis
maps.Map009.fern_music_cc85d3cce0	\FS[30]\C[0]Fern Música	\FS[30]\C[0]Fern Music
maps.Map009.game_design_fe8dbd7199	\FS[40]\C[6]Design de jogo	\FS[40]\C[6]Game Design
maps.Map009.game_director_9703e47b5a	\FS[40]\C[6]Diretor do jogo	\FS[40]\C[6]Game Director
maps.Map009.graphic_design_882678bf1e	\FS[40]\C[6]Design Gráfico	\FS[40]\C[6]Graphic Design
maps.Map009.i_wish_i_had_seen_it_sooner_ba7dcdd60a	Eu gostaria de ter visto isso antes.	I wish I had seen it sooner.
maps.Map009.lead_programmer_57ed5a2224	\FS[40]\C[6]Programador Líder	\FS[40]\C[6]Lead Programmer
maps.Map009.level_design_0b24c7977b	\FS[40]\C[6]Design de nível	\FS[40]\C[6]Level Design
maps.Map009.lucas_heinen_a1477b9eb4	\FS[30]\C[0]Lucas Heinen	\FS[30]\C[0]Lucas Heinen
maps.Map009.marketing_c4d145a388	\FS[40]\C[6]Marketing	\FS[40]\C[6]Marketing
maps.Map009.maybe_it_wasn_t_just_devil_s_curve_maybe_fcecf70a3d	Talvez não fosse apenas a Curva do Diabo. Talvez Johnny tivesse 	Maybe it wasn’t just Devil’s Curve. Maybe Johnny had 
maps.Map009.narrative_design_d0a63c444c	\FS[40]\C[6]Design Narrativo	\FS[40]\C[6]Narrative Design
maps.Map009.patricia_eiterer_2f7a93ad06	\FS[30]\C[0]Patrícia Eiterer	\FS[30]\C[0]Patricia Eiterer
maps.Map009.plugin_design_0bc5032716	\FS[40]\C[6]Design do plug-in	\FS[40]\C[6]Plugin Design
maps.Map009.poliana_sanches_8e23858449	\FS[30]\C[0]Poliana Sanches	\FS[30]\C[0]Poliana Sanches
maps.Map009.producer_8d27e3fc69	\FS[40]\C[6]Produtor	\FS[40]\C[6]Producer
maps.Map009.thank_you_for_playing_abbfc07222	\FS[50]\C[6]OBRIGADO POR JOGAR!	\FS[50]\C[6]THANK YOU FOR PLAYING!
maps.Map009.ui_ux_design_a5beaa1d18	\FS[40]\C[6]Design UI/UX	\FS[40]\C[6]UI/UX Design
maps.Map009.visustella_mz_101610539b	\FS[30]\C[0]VisuStella MZ	\FS[30]\C[0]VisuStella MZ
maps.Map010.and_you_don_t_e0102a61f9	E você não?	And you don't?
maps.Map010.but_today_they_ve_got_a_reason_83e157ceac	Mas hoje eles têm um motivo.	But today they've got a reason.
maps.Map010.choice.feliz_3093ffe85c	Feliz <Choice Common Event: 28>	Feliz <Choice Common Event: 28>
maps.Map010.choice.neutro_fb6c6efdea	Neutro <Choice Common Event: 29>	Neutro <Choice Common Event: 29>
maps.Map010.choice.triste_4896fe122d	Triste <Choice Common Event: 30>	Triste <Choice Common Event: 30>
maps.Map010.come_on_it_s_time_16a92c19a0	Vamos! Chegou a hora!	Come on! It's time!
maps.Map010.devil_s_curve_again_5e9f138f02	Curva do Diabo novamente.	Devil's Curve again.
maps.Map010.don_t_go_spreading_that_around_i_ve_got__1a546caf93	Não vá espalhar isso por aí. Eu tenho um 	Don't go spreading that around. I've got a 
maps.Map010.don_t_make_it_weird_f80e6ed7ac	Não torne isso estranho.	Don't make it weird.
maps.Map010.first_i_survive_senior_year_then_i_ll_fi_c0987b12ec	Primeiro eu sobrevivo ao último ano. Então eu vou descobrir o resto.	First I survive senior year. Then I'll figure out the rest.
maps.Map010.go_get_em_king_of_street_races_and_be_ca_035beba145	Vá buscá-los, rei das corridas de rua. E tenha cuidado.	Go get 'em, king of street races. And be careful.
maps.Map010.hard_to_keep_your_bad_boy_image_when_you_7255a2f4c3	É difícil manter sua imagem de bad boy quando você pontua mais alto 	Hard to keep your bad-boy image when you score higher 
maps.Map010.i_m_ready_to_win_again_9eae940710	Estou pronto para vencer novamente.	I'm ready to win again.
maps.Map010.is_that_her_your_girlfriend_6c01d94849	É ela? Sua namorada?	Is that her? Your girlfriend?
maps.Map010.look_the_guys_up_ahead_are_talking_about_0a5133916b	Olhar! Os caras à frente estão falando sobre 	Look! The guys up ahead are talking about 
maps.Map010.losing_to_the_best_driver_in_school_hurt_b35de8f4f3	Perder para o melhor piloto da escola dói um pouco menos.	Losing to the best driver in school hurts a little less.
maps.Map010.my_next_victory_24efc9c23e	Minha próxima vitória.	My next victory.
maps.Map010.new_message_received_21bc4c7167	<Hide Buttons><center>Nova mensagem recebida.</center>	<Hide Buttons><center>New message received.</center>
maps.Map010.not_my_fault_nobody_around_here_knows_ho_11efd8a4f7	Não é minha culpa que ninguém por aqui saiba dirigir.	Not my fault nobody around here knows how to drive.
maps.Map010.okay_fine_i_just_like_talking_to_her_22c1b9233c	Ok, tudo bem. Eu simplesmente gosto de conversar com ela.	Okay, fine. I just like talking to her.
maps.Map010.only_because_she_gets_mad_if_i_don_t_4a225e4c33	Só porque ela fica brava se eu não fizer isso.	Only because she gets mad if I don't.
maps.Map010.relax_i_know_what_i_m_doing_90b4a4585e	Relaxar. Eu sei o que estou fazendo.	Relax. I know what I'm doing.
maps.Map010.reputation_to_keep_2f892ef3c5	reputação a manter.	reputation to keep.
maps.Map010.speaking_of_that_how_s_school_going_fbb4593a50	Falando nisso, como vai a escola?	Speaking of that, how's school going?
maps.Map010.sure_that_s_the_reason_fea16994b3	Claro. Essa é a razão.	Sure. That's the reason.
maps.Map010.surviving_34e680a6df	Sobrevivendo	Surviving
maps.Map010.than_half_the_class_f8dd51d952	mais da metade da turma.	than half the class.
maps.Map010.that_s_actually_kind_of_sweet_621d241a5b	Na verdade, isso é meio fofo.	That's actually kind of sweet.
maps.Map010.the_only_thing_i_m_afraid_of_is_running__78205f940f	A única coisa que tenho medo é ficar sem gasolina.	The only thing I'm afraid of is running out of gas.
maps.Map010.they_already_do_hahaha_83cbc0f5b3	Eles já fazem isso, hahaha. 	They already do, hahaha. 
maps.Map010.they_re_gonna_hate_you_cb0ecbb163	Eles vão te odiar.	They're gonna hate you.
maps.Map010.they_say_nobody_survives_racing_through__ff1e328b8b	Dizem que ninguém sobrevive correndo por ele.	They say nobody survives racing through it.
maps.Map010.this_historic_moment_7c7f86d7f0	este momento histórico.	this historic moment.
maps.Map010.those_kids_freak_out_just_hearing_about__ebf97cf4a1	Aquelas crianças enlouquecem só de ouvir falar daquele lugar.	Those kids freak out just hearing about that place.
maps.Map010.took_you_long_enough_thought_you_were_go_bdecf78eb5	Demorou bastante. Pensei que você iria sentir falta 	Took you long enough. Thought you were gonna miss 
maps.Map010.what_historic_moment_d31ee8f9d8	Que momento histórico?	What historic moment?
maps.Map010.yeah_7169a9fe24	Sim.	Yeah.
maps.Map010.yeah_right_i_heard_you_did_pretty_well_o_9ed5d079f8	Sim, certo. Ouvi dizer que você se saiu muito bem no último teste.	Yeah, right. I heard you did pretty well on the last test.
maps.Map010.you_answer_fast_6edfbb0184	Você responde rápido.	You answer fast.
maps.Map010.you_re_getting_more_full_of_yourself_eve_23a4f846ff	Você está ficando mais cheio de si a cada dia.	You're getting more full of yourself every day.
maps.Map011.content_warning_this_game_contains_theme_b17eb7c4ab	\C[6]<Bypass Message Log><Hide Buttons><center>Aviso de conteúdo: Este jogo contém temas de suicídio, 	\C[6]<Bypass Message Log><Hide Buttons><center>Content Warning: This game contains themes of suicide, 
maps.Map011.depression_and_loss_if_you_are_strugglin_93375b2998	depressão e perda. Se você está lutando ou enfrentando 	depression, and loss. If you are struggling or experiencing 
maps.Map011.emotional_distress_please_seek_support_f_759d684af8	sofrimento emocional, procure apoio de uma pessoa de confiança 	emotional distress, please seek support from a trusted 
maps.Map011.person_or_a_crisis_helpline_in_your_regi_5b6d7e6d82	pessoa ou uma linha de apoio a crises na sua região.</center>	person or a crisis helpline in your region.</center>
maps.Map012.a_talented_young_man_well_liked_by_his_c_0d069a076f	Um jovem talentoso, querido pelos colegas de classe 	A talented young man, well-liked by his classmates 
maps.Map012.acknowledge_a_student_who_should_be_here_9861b8ae3f	reconhecer um aluno que deveria estar aqui conosco hoje.	acknowledge a student who should be here with us today.
maps.Map012.an_accident_8a1585f044	um acidente. 	an accident. 
maps.Map012.and_respected_by_his_teachers_a85e4425d6	e respeitado por seus professores.	and respected by his teachers.
maps.Map012.before_we_conclude_this_ceremony_i_would_e96b940e0e	Antes de concluirmos esta cerimónia… gostaria de 	Before we conclude this ceremony… I would like to 
maps.Map012.he_was_too_good_a_driver_to_die_in_a_rac_6a103d0c61	Ele era um piloto bom demais para morrer em uma corrida como aquela.	He was too good a driver to die in a race like that.
maps.Map012.his_absence_will_be_felt_b92e77b984	Sua ausência será sentida.	His absence will be felt.
maps.Map012.i_still_can_t_believe_it_e4f15b7fd0	Ainda não consigo acreditar.	I still can’t believe it.
maps.Map012.if_only_someone_had_done_something_ffc9218fa0	Se alguém tivesse feito alguma coisa...	If only someone had done something...
maps.Map012.it_didn_t_even_feel_like_him_almost_like_6b02bce152	Nem parecia ele. Quase como se não fosse 	It didn’t even feel like him. Almost like it wasn’t 
maps.Map012.jonny_a88cc28096	Johnny	Jonny
maps.Map012.yeah_67424c2427	Sim…	Yeah…
maps.Map013.and_it_s_all_my_fault_i_can_t_do_anythin_80dce2c58d	E é tudo culpa minha. Não consigo fazer nada certo.	And it’s all my fault. I can’t do anything right.
maps.Map013.are_you_crazy_are_you_saying_i_can_t_rac_38d0c1d843	Você está louco? Você está dizendo que não posso correr? eu vou 	Are you crazy? Are you saying I can’t race? I’m going 
maps.Map013.choice.alright_let_s_have_a_beer_to_get_warmed__86f90ed17b	Tudo bem! Vamos tomar uma cerveja para nos aquecer antes da corrida!	Alright! Let’s have a beer to get warmed up before the race!
maps.Map013.choice.are_you_going_to_take_devil_s_curve_king_ff83388ed9	Você vai pegar Devil's Curve, rei dos corredores de rua?	Are you going to take Devil’s Curve, king of street racers?
maps.Map013.choice.are_you_sure_you_should_race_like_this_m_66e15dfa59	Tem certeza de que deveria correr assim? Talvez você devesse ficar de fora...	Are you sure you should race like this? Maybe you should sit this one out...
maps.Map013.choice.devil_s_curve_no_sense_at_all_that_s_why_f0c3835812	Curva do Diabo! Não faz sentido nenhum. É por isso que você ganha tudo.	Devil's Curve! No sense at all. That's why you win everything.
maps.Map013.choice.forget_it_it_s_probably_just_another_fig_0ccb7ef53e	Esqueça. Provavelmente é apenas mais uma briga. Vai ficar tudo bem em breve	Forget it. It’s probably just another fight. It’ll be fine soon
maps.Map013.choice.girls_are_waiting_in_line_for_jonny_take_0177a7a80e	As meninas estão esperando na fila por Jonny. Pegue a Curva do Diabo e você terá tudo.	Girls are waiting in line for Jonny. Take Devil’s Curve and you’ll have it all.
maps.Map013.choice.i_can_t_give_dating_advice_but_i_know_ra_ff0b31588f	Não posso dar conselhos sobre namoro, mas conheço corridas. Essa faixa tem Devil’s Curve: mantenha o foco.	I can’t give dating advice, but I know racing. This track has Devil’s Curve: stay focused.
maps.Map013.choice.i_m_not_letting_you_race_give_me_the_key_d26d4e115a	Não vou deixar você correr. Dê-me as chaves do Opala.	I’m not letting you race. Give me the keys to the Opala.
maps.Map013.choice.jonny_are_you_talking_about_devil_s_curv_29c4d6cf79	Jonny, você está falando sobre a Curva do Diabo?	Jonny, are you talking about devil's Curve?
maps.Map013.choice.jonny_that_is_crazy_255e44554a	Jonny, isso é uma loucura.	Jonny, that is crazy.
maps.Map013.choice.jonny_what_are_you_talking_about_it_almo_24d1416041	Johnny, do que você está falando? Quase parece... você está bem, cara?	Jonny, what are you talking about? It almost sounds like... are you okay, man?
maps.Map013.choice.let_jonny_race_013640ddbe	Deixe Jonny correr.	Let Jonny race.
maps.Map013.choice.let_s_go_champ_devil_s_curve_is_nothing__524188f8df	Vamos, campeão! A Curva do Diabo não é nada para o nosso louco Jonny.	Let’s go, champ! Devil’s Curve is nothing for our crazy Jonny.
maps.Map013.choice.let_s_talk_jonny_i_don_t_think_it_s_a_go_67dd932fe2	Vamos conversar, Jonny. Não acho que seja uma boa ideia você correr enquanto está com a cabeça quente.	Let’s talk, Jonny. I don’t think it’s a good idea for you to race while you’re hot-headed.
maps.Map013.choice.man_have_you_been_drinking_e52a174683	Cara, você andou bebendo?	Man, have you been drinking?
maps.Map013.choice.now_that_s_the_spirit_pure_gasoline_in_y_2ec63eb8a8	Esse é o espírito, gasolina pura em suas veias!!	Now that’s the spirit, pure gasoline in your veins!!
maps.Map013.choice.slash_the_opala_s_tire_and_stop_jonny_fr_2d798a7697	Corte o pneu do Opala e impeça Jonny de correr.	Slash the Opala's tire and stop Jonny from racing.
maps.Map013.choice.stop_trying_to_change_the_subject_bbbf340e1a	Pare de tentar mudar de assunto.	Stop trying to change the subject.
maps.Map013.choice.strange_conversation_enough_of_this_you__f8932913f5	Conversa estranha. Chega disso, você está louco! Concentre-se na corrida.	Strange conversation. Enough of this, you’re crazy! Focus on the race.
maps.Map013.choice.that_s_it_take_it_out_on_the_accelerator_eb208b2f9f	É isso! Tire no acelerador!	That’s it! Take it out on the accelerator!
maps.Map013.choice.that_s_my_jonny_more_insane_than_ever_adcc3a23a9	Esse é o meu Jonny! Mais louco do que nunca!	That’s my Jonny! More insane than ever!
